Shop,SKU,Size,Price,Link
Heat Factory,BB3068,8.5,"15,000,000",https://heatfactory.vn/products/adidas-human-race-v1-black
Heat Factory,AQ2661,8,"13,000,000",https://heatfactory.vn/products/adidas-yeezy-350-oxford-tan
Heat Factory,B37572,4,"7,300,000",https://heatfactory.vn/products/adidas-yeezy-350-semi-frozen
Heat Factory,CT4328-101,6,"3,300,000",https://heatfactory.vn/products/air-force-1-07-white-blue-fire-pink
Heat Factory,CT4328-102,6.5,"3,300,000",https://heatfactory.vn/products/air-force-1-07-white-blue-fire-pink
Heat Factory,CT4328-102,7,"3,300,000",https://heatfactory.vn/products/air-force-1-07-white-blue-fire-pink
Heat Factory,CJ5290-400,8,"7,500,000",https://heatfactory.vn/products/air-force-1-clot-blue-silk
Heat Factory,CU9225-100,8,"8,500,000",https://heatfactory.vn/products/air-force-1-supreme
Heat Factory,CU9225-100,9,"7,800,000",https://heatfactory.vn/products/air-force-1-supreme
Heat Factory,CU9225-100,9.5,"7,800,000",https://heatfactory.vn/products/air-force-1-supreme
Heat Factory,CU9225-100,10.5,"7,800,000",https://heatfactory.vn/products/air-force-1-supreme
Heat Factory,CU9225-100,10,"8,500,000",https://heatfactory.vn/products/air-force-1-supreme
Heat Factory,CW1590-700,1Y,"4,200,000",https://heatfactory.vn/products/dunk-low-kid-michigan
Heat Factory,CW1588-700,11C,"4,200,000",https://heatfactory.vn/products/dunk-low-kid-michigan
Heat Factory,CW1588-701,6C,"4,200,000",https://heatfactory.vn/products/dunk-low-kid-michigan
Heat Factory,CW1590-100,2Y,"4,200,000",https://heatfactory.vn/products/dunk-low-kids-black
Heat Factory,BQ4422-100,7,"13,000,000",https://heatfactory.vn/products/jordan-1-high-neutral-grey-85
Heat Factory,907958-015,8.5,"11,500,000",https://heatfactory.vn/products/jordan-1-high-all-star
Heat Factory,555088-610,7Y,"18,500,000",https://heatfactory.vn/products/jordan-1-high-bredtoe
Heat Factory,555088-500,8.5,"7,300,000",https://heatfactory.vn/products/jordan-1-high-court-purple
